name,lat,lon,population,households,housing
東京都千代田区,35.69389,139.75361,45752,25039,32460
東京都中央区,35.67083,139.77222,107793,61985,95420
東京都港区,35.65806,139.75167,195928,111613,140440
東京都新宿区,35.69389,139.70361,279557,166102,215890
東京都文京区,35.70806,139.75222,186321,99709,113410
東京都台東区,35.71278,139.78,163635,88838,100860
東京都墨田区,35.71056,139.80167,234223,119549,126050
東京都江東区,35.67306,139.81722,432090,212494,220760
東京都品川区,35.60889,139.73028,343882,186660,213050
東京都目黒区,35.64139,139.69833,252452,139459,170140
東京都大田区,35.56139,139.71611,669674,339229,357800
東京都世田谷区,35.64611,139.65306,827220,431116,455220
東京都渋谷区,35.664145,139.698504,196597,117351,147380
東京都中野区,35.7075,139.66389,300614,175628,191320
東京都杉並区,35.69944,139.63639,525583,290334,315910
東京都豊島区,35.72611,139.71667,242582,141760,168250
東京都北区,35.75278,139.73361,317949,165689,185080
東京都荒川区,35.73611,139.78333,182779,91130,107860
東京都板橋区,35.75111,139.70944,513589,261161,279420
東京都練馬区,35.73556,139.65222,686208,326644,334410
東京都足立区,35.775,139.80472,631860,292676,310590
東京都葛飾区,35.74333,139.84722,429787,199930,204660
東京都江戸川区,35.70667,139.86833,647808,299272,314690
北九州市門司区,33.94111,130.95972,109034,50631,51690
北九州市若松区,33.90556,130.81111,87170,37470,37260
北九州市戸畑区,33.89333,130.82972,63182,29813,32640
北九州市小倉北区,33.88083,130.87361,177375,91059,109370
北九州市小倉南区,33.84639,130.88472,215387,92656,96080
北九州市八幡東区,33.86361,130.81194,73361,35144,39100
北九州市八幡西区,33.86639,130.76417,257327,112083,123290
