name,lat,lon,population,households,housing
東京都千代田区,35.69389,139.75361,39811,18502,20010
東京都中央区,35.67083,139.77222,72446,35484,36960
東京都港区,35.65806,139.75167,152884,78735,87630
東京都新宿区,35.69389,139.70361,262219,140620,158870
東京都文京区,35.70806,139.75222,164853,80162,89650
東京都台東区,35.71278,139.78,152213,72852,78030
東京都墨田区,35.71056,139.80167,215077,96719,99530
東京都江東区,35.67306,139.81722,363903,162014,157180
東京都品川区,35.60889,139.73028,315884,155143,170910
東京都目黒区,35.64139,139.69833,237013,121521,126730
東京都大田区,35.56139,139.71611,636474,295838,301130
東京都世田谷区,35.64611,139.65306,769553,377919,408430
東京都渋谷区,35.664145,139.698504,183576,99307,135200
東京都中野区,35.7075,139.66389,293269,155376,177020
東京都杉並区,35.69944,139.63639,500421,256689,279720
東京都豊島区,35.72611,139.71667,233132,124198,152190
東京都北区,35.75278,139.73361,321181,149755,167610
東京都荒川区,35.73611,139.78333,169551,75800,79170
東京都板橋区,35.75111,139.70944,495857,230860,251400
東京都練馬区,35.73556,139.65222,635751,278450,295580
東京都足立区,35.775,139.80472,618606,258734,275640
東京都葛飾区,35.74333,139.84722,420735,177972,193080
東京都江戸川区,35.70667,139.86833,599915,255458,267790
北九州市門司区,33.94111,130.95972,118882,48471,50320
北九州市若松区,33.90556,130.81111,92703,34311,32220
北九州市戸畑区,33.89333,130.82972,64310,27507,30530
北九州市小倉北区,33.88083,130.87361,185913,84613,93710
北九州市小倉南区,33.84639,130.88472,210148,79653,84180
北九州市八幡東区,33.86361,130.81194,82307,34924,37600
北九州市八幡西区,33.86639,130.76417,256240,99984,107990
