name,lat,lon,population,households,housing
東京都千代田区,35.69389,139.75361,40633,20302,24210
東京都中央区,35.67083,139.77222,86957,46134,53440
東京都港区,35.65806,139.75167,164697,89928,109650
東京都新宿区,35.69389,139.70361,267839,151309,190000
東京都文京区,35.70806,139.75222,173486,89226,97670
東京都台東区,35.71278,139.78,156025,79801,94210
東京都墨田区,35.71056,139.80167,220487,105316,111280
東京都江東区,35.67306,139.81722,391315,184264,193700
東京都品川区,35.60889,139.73028,324620,168953,189140
東京都目黒区,35.64139,139.69833,245401,131443,140680
東京都大田区,35.56139,139.71611,648245,315542,344290
東京都世田谷区,35.64611,139.65306,794041,404928,424270
東京都渋谷区,35.664145,139.698504,192968,110433,130240
東京都中野区,35.7075,139.66389,297040,165429,179620
東京都杉並区,35.69944,139.63639,510952,273664,292830
東京都豊島区,35.72611,139.71667,236370,132842,156390
東京都北区,35.75278,139.73361,315621,157003,171420
東京都荒川区,35.73611,139.78333,175136,83274,93540
東京都板橋区,35.75111,139.70944,506732,248018,277480
東京都練馬区,35.73556,139.65222,663185,303585,323170
東京都足立区,35.775,139.80472,620951,274515,303480
東京都葛飾区,35.74333,139.84722,422737,188375,206200
東京都江戸川区,35.70667,139.86833,628542,281195,300190
北九州市門司区,33.94111,130.95972,113684,49841,50970
北九州市若松区,33.90556,130.81111,90057,35875,35160
北九州市戸畑区,33.89333,130.82972,63821,28942,32110
北九州市小倉北区,33.88083,130.87361,180025,87978,104470
北九州市小倉南区,33.84639,130.88472,214175,86532,93280
北九州市八幡東区,33.86361,130.81194,77523,35142,38620
北九州市八幡西区,33.86639,130.76417,258113,106578,113550
